Site,Plot,Area Sampled (m2),Species,BD_cm,Stem Bio (g dry wt),Branch Bio (g dry wt),New Growth Bio (g dry wt),Tot Bio CALC ALLOM (g dry wt),Tot Bio SUM COMP (g dry wt),Stem Bio (g C m-2),Branch Bio (g C m-2),New Growth Bio (g C m-2),Tot Bio CALC ALLOM (g C m-2),Tot Bio SUM COMP (g C m-2)
LDS2,1,5,Betula,0.11,0.10,0.00,0.02,0.04,0.12,0.01,0.00,0.00,0.00,0.01
LDS2,1,5,Betula,0.34,1.37,0.07,0.33,1.14,1.77,0.13,0.01,0.03,0.11,0.17
LDS2,1,5,Betula,0.12,0.12,0.00,0.03,0.05,0.14,0.01,0.00,0.00,0.00,0.01
LDS2,1,5,Betula,0.21,0.44,0.01,0.10,0.27,0.55,0.04,0.00,0.01,0.03,0.05
LDS2,1,5,Betula,0.45,2.65,0.22,0.65,2.62,3.52,0.25,0.02,0.06,0.25,0.33
LDS2,1,5,Betula,0.13,0.14,0.00,0.03,0.07,0.17,0.01,0.00,0.00,0.01,0.02
LDS2,1,5,Betula,0.21,0.44,0.01,0.10,0.27,0.55,0.04,0.00,0.01,0.03,0.05
LDS2,1,5,Betula,0.44,2.52,0.20,0.61,2.45,3.33,0.24,0.02,0.06,0.23,0.31
LDS2,1,5,Betula,0.78,9.72,2.09,2.49,13.43,14.30,0.91,0.20,0.23,1.26,1.34
LDS2,1,5,Betula,0.67,6.79,1.13,1.71,8.55,9.63,0.64,0.11,0.16,0.80,0.91
LDS2,1,5,Betula,0.64,6.09,0.94,1.53,7.47,8.56,0.57,0.09,0.14,0.70,0.80
LDS2,1,5,Betula,0.73,8.31,1.60,2.11,11.04,12.02,0.78,0.15,0.20,1.04,1.13
LDS2,1,5,Betula,1.34,34.85,18.80,9.36,67.02,63.02,3.28,1.77,0.88,6.30,5.92
LDS2,1,5,Betula,0.78,9.72,2.09,2.49,13.43,14.30,0.91,0.20,0.23,1.26,1.34
LDS2,1,5,Betula,0.73,8.31,1.60,2.11,11.04,12.02,0.78,0.15,0.20,1.04,1.13
LDS2,1,5,Betula,0.73,8.31,1.60,2.11,11.04,12.02,0.78,0.15,0.20,1.04,1.13
LDS2,1,5,Betula,0.83,11.25,2.69,2.90,16.16,16.84,1.06,0.25,0.27,1.52,1.58
LDS2,1,5,Betula,1.15,24.30,10.11,6.44,42.56,40.84,2.28,0.95,0.60,4.00,3.84
LDS2,1,5,Betula,0.24,0.60,0.02,0.14,0.41,0.76,0.06,0.00,0.01,0.04,0.07
LDS2,1,5,Betula,0.27,0.79,0.03,0.18,0.58,1.01,0.07,0.00,0.02,0.05,0.09
LDS2,1,5,Betula,0.3,1.02,0.04,0.24,0.79,1.30,0.10,0.00,0.02,0.07,0.12
LDS2,1,5,Betula,0.53,3.90,0.44,0.96,4.26,5.30,0.37,0.04,0.09,0.40,0.50
LDS2,1,5,Betula,0.34,1.37,0.07,0.33,1.14,1.77,0.13,0.01,0.03,0.11,0.17
LDS2,1,5,Betula,1.04,19.16,6.72,5.03,31.57,30.91,1.80,0.63,0.47,2.97,2.91
LDS2,1,5,Betula,0.41,2.13,0.15,0.51,1.99,2.80,0.20,0.01,0.05,0.19,0.26
LDS2,1,5,Betula,0.44,2.52,0.20,0.61,2.45,3.33,0.24,0.02,0.06,0.23,0.31
LDS2,1,5,Betula,0.29,0.94,0.04,0.22,0.71,1.20,0.09,0.00,0.02,0.07,0.11
LDS2,1,5,Betula,0.5,3.40,0.34,0.84,3.59,4.58,0.32,0.03,0.08,0.34,0.43
LDS2,1,5,Betula,0.37,1.67,0.10,0.40,1.47,2.17,0.16,0.01,0.04,0.14,0.20
LDS2,1,5,Betula,0.18,0.31,0.01,0.07,0.17,0.38,0.03,0.00,0.01,0.02,0.04
LDS2,1,5,Betula,0.13,0.14,0.00,0.03,0.07,0.17,0.01,0.00,0.00,0.01,0.02
LDS2,1,5,Betula,0.41,2.13,0.15,0.51,1.99,2.80,0.20,0.01,0.05,0.19,0.26
LDS2,1,5,Betula,0.1,0.08,0.00,0.02,0.03,0.09,0.01,0.00,0.00,0.00,0.01
LDS2,1,5,Betula,0.13,0.14,0.00,0.03,0.07,0.17,0.01,0.00,0.00,0.01,0.02
LDS2,1,5,Betula,1.16,24.80,10.47,6.57,43.67,41.84,2.33,0.98,0.62,4.10,3.93
LDS2,1,5,Betula,0.52,3.73,0.40,0.92,4.03,5.06,0.35,0.04,0.09,0.38,0.48
LDS2,1,5,Betula,0.79,10.02,2.20,2.57,13.95,14.78,0.94,0.21,0.24,1.31,1.39
LDS2,1,5,Betula,0.98,16.66,5.28,4.35,26.46,26.28,1.57,0.50,0.41,2.49,2.47
LDS2,1,5,Betula,1.18,25.82,11.22,6.86,45.94,43.89,2.43,1.05,0.64,4.32,4.13
LDS2,1,5,Betula,1.04,19.16,6.72,5.03,31.57,30.91,1.80,0.63,0.47,2.97,2.91
LDS2,1,5,Betula,0.67,6.79,1.13,1.71,8.55,9.63,0.64,0.11,0.16,0.80,0.91
LDS2,1,5,Betula,0.21,0.44,0.01,0.10,0.27,0.55,0.04,0.00,0.01,0.03,0.05
LDS2,1,5,Betula,0.68,7.03,1.20,1.78,8.94,10.00,0.66,0.11,0.17,0.84,0.94
LDS2,1,5,Betula,1.75,65.44,55.58,18.00,148.09,139.02,6.15,5.22,1.69,13.92,13.07
LDS2,1,5,Betula,0.64,6.09,0.94,1.53,7.47,8.56,0.57,0.09,0.14,0.70,0.80
LDS2,1,5,Betula,0.3,1.02,0.04,0.24,0.79,1.30,0.10,0.00,0.02,0.07,0.12
LDS2,1,5,Betula,0.34,1.37,0.07,0.33,1.14,1.77,0.13,0.01,0.03,0.11,0.17
LDS2,1,5,Betula,0.68,7.03,1.20,1.78,8.94,10.00,0.66,0.11,0.17,0.84,0.94
LDS2,1,5,Betula,0.52,3.73,0.40,0.92,4.03,5.06,0.35,0.04,0.09,0.38,0.48
LDS2,1,5,Betula,0.66,6.55,1.06,1.65,8.18,9.26,0.62,0.10,0.16,0.77,0.87
LDS2,1,5,Betula,0.35,1.47,0.08,0.35,1.24,1.90,0.14,0.01,0.03,0.12,0.18
LDS2,1,5,Betula,0.92,14.35,4.08,3.73,21.94,22.16,1.35,0.38,0.35,2.06,2.08
LDS2,1,5,Betula,0.66,6.55,1.06,1.65,8.18,9.26,0.62,0.10,0.16,0.77,0.87
LDS2,1,5,Betula,0.67,6.79,1.13,1.71,8.55,9.63,0.64,0.11,0.16,0.80,0.91
LDS2,1,5,Betula,1,17.47,5.73,4.57,28.10,27.77,1.64,0.54,0.43,2.64,2.61
LDS2,1,5,Betula,0.82,10.94,2.56,2.81,15.59,16.31,1.03,0.24,0.26,1.47,1.53
LDS2,1,5,Betula,1,17.47,5.73,4.57,28.10,27.77,1.64,0.54,0.43,2.64,2.61
LDS2,1,5,Betula,0.7,7.53,1.35,1.91,9.74,10.78,0.71,0.13,0.18,0.92,1.01
LDS2,1,5,Betula,0.93,14.72,4.27,3.83,22.65,22.81,1.38,0.40,0.36,2.13,2.14
LDS2,1,5,Betula,0.96,15.87,4.85,4.14,24.89,24.86,1.49,0.46,0.39,2.34,2.34
LDS2,1,5,Betula,0.45,2.65,0.22,0.65,2.62,3.52,0.25,0.02,0.06,0.25,0.33
LDS2,1,5,Betula,0.67,6.79,1.13,1.71,8.55,9.63,0.64,0.11,0.16,0.80,0.91
LDS2,1,5,Betula,0.22,0.49,0.01,0.11,0.31,0.61,0.05,0.00,0.01,0.03,0.06
LDS2,1,5,Betula,0.23,0.54,0.01,0.12,0.36,0.68,0.05,0.00,0.01,0.03,0.06
LDS2,1,5,Betula,0.44,2.52,0.20,0.61,2.45,3.33,0.24,0.02,0.06,0.23,0.31
LDS2,1,5,Betula,0.21,0.44,0.01,0.10,0.27,0.55,0.04,0.00,0.01,0.03,0.05
LDS2,1,5,Betula,0.19,0.35,0.01,0.08,0.20,0.43,0.03,0.00,0.01,0.02,0.04
LDS2,1,5,Betula,0.35,1.47,0.08,0.35,1.24,1.90,0.14,0.01,0.03,0.12,0.18
LDS2,1,5,Betula,0.45,2.65,0.22,0.65,2.62,3.52,0.25,0.02,0.06,0.25,0.33
LDS2,1,5,Betula,0.6,5.23,0.72,1.31,6.16,7.26,0.49,0.07,0.12,0.58,0.68
LDS2,1,5,Betula,0.35,1.47,0.08,0.35,1.24,1.90,0.14,0.01,0.03,0.12,0.18
LDS2,1,5,Betula,0.38,1.78,0.11,0.43,1.59,2.32,0.17,0.01,0.04,0.15,0.22
LDS2,1,5,Betula,1.15,24.30,10.11,6.44,42.56,40.84,2.28,0.95,0.60,4.00,3.84
LDS2,1,5,Betula,0.86,12.24,3.11,3.16,17.95,18.50,1.15,0.29,0.30,1.69,1.74
LDS2,1,5,Betula,1.25,29.58,14.18,7.89,54.52,51.65,2.78,1.33,0.74,5.12,4.86
LDS2,1,5,Betula,0.35,1.47,0.08,0.35,1.24,1.90,0.14,0.01,0.03,0.12,0.18
LDS2,1,5,Betula,0.12,0.12,0.00,0.03,0.05,0.14,0.01,0.00,0.00,0.00,0.01
LDS2,1,5,Betula,0.18,0.31,0.01,0.07,0.17,0.38,0.03,0.00,0.01,0.02,0.04
LDS2,1,5,Betula,0.18,0.31,0.01,0.07,0.17,0.38,0.03,0.00,0.01,0.02,0.04
LDS2,1,5,Betula,0.56,4.45,0.54,1.10,5.02,6.09,0.42,0.05,0.10,0.47,0.57
LDS2,1,5,Betula,0.49,3.24,0.32,0.80,3.38,4.36,0.30,0.03,0.07,0.32,0.41
LDS2,1,5,Betula,0.38,1.78,0.11,0.43,1.59,2.32,0.17,0.01,0.04,0.15,0.22
LDS2,1,5,Betula,1.04,19.16,6.72,5.03,31.57,30.91,1.80,0.63,0.47,2.97,2.91
LDS2,1,5,Betula,1.15,24.30,10.11,6.44,42.56,40.84,2.28,0.95,0.60,4.00,3.84
LDS2,1,5,Betula,0.5,3.40,0.34,0.84,3.59,4.58,0.32,0.03,0.08,0.34,0.43
LDS2,1,5,Betula,0.76,9.14,1.88,2.33,12.44,13.35,0.86,0.18,0.22,1.17,1.26
LDS2,1,5,Betula,0.34,1.37,0.07,0.33,1.14,1.77,0.13,0.01,0.03,0.11,0.17
LDS2,1,5,Betula,0.58,4.83,0.63,1.20,5.57,6.66,0.45,0.06,0.11,0.52,0.63
LDS2,1,5,Betula,0.51,3.57,0.37,0.88,3.80,4.82,0.34,0.03,0.08,0.36,0.45
LDS2,1,5,Betula,0.3,1.02,0.04,0.24,0.79,1.30,0.10,0.00,0.02,0.07,0.12
LDS2,1,5,Betula,0.13,0.14,0.00,0.03,0.07,0.17,0.01,0.00,0.00,0.01,0.02
LDS2,1,5,Betula,0.09,0.06,0.00,0.01,0.02,0.07,0.01,0.00,0.00,0.00,0.01
LDS2,1,5,Betula,0.32,1.19,0.06,0.28,0.95,1.52,0.11,0.01,0.03,0.09,0.14
LDS2,1,5,Betula,0.3,1.02,0.04,0.24,0.79,1.30,0.10,0.00,0.02,0.07,0.12
LDS2,1,5,Betula,0.76,9.14,1.88,2.33,12.44,13.35,0.86,0.18,0.22,1.17,1.26
LDS2,1,5,Betula,1.14,23.80,9.75,6.30,41.47,39.85,2.24,0.92,0.59,3.90,3.75
LDS2,1,5,Betula,0.48,3.09,0.29,0.76,3.18,4.14,0.29,0.03,0.07,0.30,0.39
LDS2,1,5,Betula,0.71,7.79,1.43,1.97,10.16,11.19,0.73,0.13,0.19,0.96,1.05
LDS2,1,5,Betula,0.4,2.01,0.14,0.48,1.85,2.63,0.19,0.01,0.05,0.17,0.25
LDS2,1,5,Betula,0.31,1.10,0.05,0.26,0.87,1.41,0.10,0.00,0.02,0.08,0.13
LDS2,1,5,Betula,0.37,1.67,0.10,0.40,1.47,2.17,0.16,0.01,0.04,0.14,0.20
LDS2,1,5,Betula,0.31,1.10,0.05,0.26,0.87,1.41,0.10,0.00,0.02,0.08,0.13
LDS2,1,5,Betula,0.56,4.45,0.54,1.10,5.02,6.09,0.42,0.05,0.10,0.47,0.57
LDS2,1,5,Betula,0.44,2.52,0.20,0.61,2.45,3.33,0.24,0.02,0.06,0.23,0.31
LDS2,1,5,Betula,0.6,5.23,0.72,1.31,6.16,7.26,0.49,0.07,0.12,0.58,0.68
LDS2,1,5,Betula,0.55,4.26,0.51,1.06,4.76,5.82,0.40,0.05,0.10,0.45,0.55
LDS2,1,5,Betula,0.33,1.28,0.06,0.30,1.04,1.64,0.12,0.01,0.03,0.10,0.15
LDS2,1,5,Betula,0.16,0.23,0.00,0.05,0.12,0.29,0.02,0.00,0.00,0.01,0.03
LDS2,1,5,Betula,0.12,0.12,0.00,0.03,0.05,0.14,0.01,0.00,0.00,0.00,0.01
LDS2,1,5,Betula,0.14,0.17,0.00,0.04,0.08,0.21,0.02,0.00,0.00,0.01,0.02
LDS2,1,5,Betula,0.12,0.12,0.00,0.03,0.05,0.14,0.01,0.00,0.00,0.00,0.01
LDS2,1,5,Betula,0.24,0.60,0.02,0.14,0.41,0.76,0.06,0.00,0.01,0.04,0.07
LDS2,1,5,Betula,0.19,0.35,0.01,0.08,0.20,0.43,0.03,0.00,0.01,0.02,0.04
LDS2,1,5,Betula,0.62,5.65,0.82,1.42,6.79,7.89,0.53,0.08,0.13,0.64,0.74
LDS2,1,5,Betula,0.22,0.49,0.01,0.11,0.31,0.61,0.05,0.00,0.01,0.03,0.06
LDS2,1,5,Betula,0.3,1.02,0.04,0.24,0.79,1.30,0.10,0.00,0.02,0.07,0.12
LDS2,1,5,Betula,0.2,0.39,0.01,0.09,0.24,0.49,0.04,0.00,0.01,0.02,0.05
LDS2,1,5,Betula,0.33,1.28,0.06,0.30,1.04,1.64,0.12,0.01,0.03,0.10,0.15
LDS2,1,5,Betula,0.14,0.17,0.00,0.04,0.08,0.21,0.02,0.00,0.00,0.01,0.02
LDS2,1,5,Betula,0.12,0.12,0.00,0.03,0.05,0.14,0.01,0.00,0.00,0.00,0.01
LDS2,1,5,Betula,0.72,8.05,1.51,2.04,10.59,11.60,0.76,0.14,0.19,1.00,1.09
LDS2,1,5,Betula,0.65,6.32,1.00,1.59,7.82,8.91,0.59,0.09,0.15,0.73,0.84
LDS2,1,5,Betula,0.58,4.83,0.63,1.20,5.57,6.66,0.45,0.06,0.11,0.52,0.63
LDS2,1,5,Betula,0.35,1.47,0.08,0.35,1.24,1.90,0.14,0.01,0.03,0.12,0.18
LDS2,1,5,Betula,0.28,0.87,0.03,0.20,0.64,1.10,0.08,0.00,0.02,0.06,0.10
LDS2,1,5,Betula,1.2,26.86,12.01,7.14,48.29,46.02,2.53,1.13,0.67,4.54,4.33
LDS2,1,5,Betula,0.54,4.08,0.47,1.01,4.51,5.56,0.38,0.04,0.09,0.42,0.52
LDS2,1,5,Betula,0.88,12.92,3.41,3.34,19.22,19.67,1.21,0.32,0.31,1.81,1.85
LDS2,1,5,Betula,0.54,4.08,0.47,1.01,4.51,5.56,0.38,0.04,0.09,0.42,0.52
LDS2,1,5,Betula,0.85,11.90,2.96,3.07,17.34,17.94,1.12,0.28,0.29,1.63,1.69
LDS2,1,5,Betula,0.75,8.86,1.78,2.26,11.96,12.90,0.83,0.17,0.21,1.12,1.21
LDS2,1,5,Betula,0.45,2.65,0.22,0.65,2.62,3.52,0.25,0.02,0.06,0.25,0.33
LDS2,1,5,Betula,0.7,7.53,1.35,1.91,9.74,10.78,0.71,0.13,0.18,0.92,1.01
LDS2,1,5,Betula,0.5,3.40,0.34,0.84,3.59,4.58,0.32,0.03,0.08,0.34,0.43
LDS2,1,5,Betula,0.63,5.87,0.88,1.47,7.12,8.22,0.55,0.08,0.14,0.67,0.77
LDS2,1,5,Betula,0.36,1.57,0.09,0.37,1.35,2.03,0.15,0.01,0.04,0.13,0.19
LDS2,1,5,Betula,0.49,3.24,0.32,0.80,3.38,4.36,0.30,0.03,0.07,0.32,0.41
LDS2,1,5,Betula,0.2,0.39,0.01,0.09,0.24,0.49,0.04,0.00,0.01,0.02,0.05
LDS2,1,5,Betula,1.1,21.88,8.44,5.77,37.29,36.09,2.06,0.79,0.54,3.51,3.39
LDS2,1,5,Betula,0.75,8.86,1.78,2.26,11.96,12.90,0.83,0.17,0.21,1.12,1.21
LDS2,1,5,Betula,0.65,6.32,1.00,1.59,7.82,8.91,0.59,0.09,0.15,0.73,0.84
LDS2,1,5,Betula,0.64,6.09,0.94,1.53,7.47,8.56,0.57,0.09,0.14,0.70,0.80
LDS2,1,5,Betula,1.1,21.88,8.44,5.77,37.29,36.09,2.06,0.79,0.54,3.51,3.39
LDS2,1,5,Betula,0.46,2.80,0.24,0.68,2.80,3.72,0.26,0.02,0.06,0.26,0.35
LDS2,1,5,Betula,0.54,4.08,0.47,1.01,4.51,5.56,0.38,0.04,0.09,0.42,0.52
LDS2,1,5,Betula,0.22,0.49,0.01,0.11,0.31,0.61,0.05,0.00,0.01,0.03,0.06
LDS2,1,5,Betula,0.62,5.65,0.82,1.42,6.79,7.89,0.53,0.08,0.13,0.64,0.74
LDS2,1,5,Betula,0.44,2.52,0.20,0.61,2.45,3.33,0.24,0.02,0.06,0.23,0.31
LDS2,1,5,Betula,0.71,7.79,1.43,1.97,10.16,11.19,0.73,0.13,0.19,0.96,1.05
LDS2,1,5,Betula,0.55,4.26,0.51,1.06,4.76,5.82,0.40,0.05,0.10,0.45,0.55
LDS2,1,5,Betula,1.2,26.86,12.01,7.14,48.29,46.02,2.53,1.13,0.67,4.54,4.33
LDS2,1,5,Betula,0.47,2.94,0.27,0.72,2.98,3.93,0.28,0.03,0.07,0.28,0.37
LDS2,1,5,Betula,1.41,39.31,23.12,10.60,77.96,73.03,3.69,2.17,1.00,7.33,6.86
LDS2,1,5,Betula,0.7,7.53,1.35,1.91,9.74,10.78,0.71,0.13,0.18,0.92,1.01
LDS2,1,5,Betula,0.78,9.72,2.09,2.49,13.43,14.30,0.91,0.20,0.23,1.26,1.34
LDS2,1,5,Betula,0.38,1.78,0.11,0.43,1.59,2.32,0.17,0.01,0.04,0.15,0.22
LDS2,1,5,Betula,1.25,29.58,14.18,7.89,54.52,51.65,2.78,1.33,0.74,5.12,4.86
LDS2,1,5,Betula,1.1,21.88,8.44,5.77,37.29,36.09,2.06,0.79,0.54,3.51,3.39
LDS2,1,5,Betula,0.8,10.32,2.32,2.65,14.48,15.28,0.97,0.22,0.25,1.36,1.44
LDS2,1,5,Betula,0.72,8.05,1.51,2.04,10.59,11.60,0.76,0.14,0.19,1.00,1.09
LDS2,1,5,Betula,0.7,7.53,1.35,1.91,9.74,10.78,0.71,0.13,0.18,0.92,1.01
LDS2,1,5,Betula,1,17.47,5.73,4.57,28.10,27.77,1.64,0.54,0.43,2.64,2.61
LDS2,1,5,Betula,0.8,10.32,2.32,2.65,14.48,15.28,0.97,0.22,0.25,1.36,1.44
LDS2,1,5,Betula,0.46,2.80,0.24,0.68,2.80,3.72,0.26,0.02,0.06,0.26,0.35
LDS2,1,5,Betula,0.25,0.66,0.02,0.15,0.46,0.84,0.06,0.00,0.01,0.04,0.08
LDS2,1,5,Betula,0.35,1.47,0.08,0.35,1.24,1.90,0.14,0.01,0.03,0.12,0.18
LDS2,2,5,Betula,0.54,4.08,0.47,1.01,4.51,5.56,0.38,0.04,0.09,0.42,0.52
LDS2,2,5,Betula,0.45,2.65,0.22,0.65,2.62,3.52,0.25,0.02,0.06,0.25,0.33
LDS2,2,5,Betula,0.37,1.67,0.10,0.40,1.47,2.17,0.16,0.01,0.04,0.14,0.20
LDS2,2,5,Betula,0.55,4.26,0.51,1.06,4.76,5.82,0.40,0.05,0.10,0.45,0.55
LDS2,2,5,Betula,0.4,2.01,0.14,0.48,1.85,2.63,0.19,0.01,0.05,0.17,0.25
LDS2,2,5,Betula,0.4,2.01,0.14,0.48,1.85,2.63,0.19,0.01,0.05,0.17,0.25
LDS2,2,5,Betula,0.54,4.08,0.47,1.01,4.51,5.56,0.38,0.04,0.09,0.42,0.52
LDS2,2,5,Betula,0.5,3.40,0.34,0.84,3.59,4.58,0.32,0.03,0.08,0.34,0.43
LDS2,2,5,Betula,0.78,9.72,2.09,2.49,13.43,14.30,0.91,0.20,0.23,1.26,1.34
LDS2,2,5,Betula,0.42,2.26,0.17,0.55,2.14,2.97,0.21,0.02,0.05,0.20,0.28
LDS2,2,5,Betula,0.44,2.52,0.20,0.61,2.45,3.33,0.24,0.02,0.06,0.23,0.31
LDS2,2,5,Betula,0.76,9.14,1.88,2.33,12.44,13.35,0.86,0.18,0.22,1.17,1.26
LDS2,2,5,Betula,0.95,15.48,4.65,4.03,24.13,24.16,1.45,0.44,0.38,2.27,2.27
LDS2,2,5,Betula,0.22,0.49,0.01,0.11,0.31,0.61,0.05,0.00,0.01,0.03,0.06
LDS2,2,5,Betula,0.22,0.49,0.01,0.11,0.31,0.61,0.05,0.00,0.01,0.03,0.06
LDS2,2,5,Betula,1.75,65.44,55.58,18.00,148.09,139.02,6.15,5.22,1.69,13.92,13.07
LDS2,2,5,Betula,0.75,8.86,1.78,2.26,11.96,12.90,0.83,0.17,0.21,1.12,1.21
LDS2,2,5,Betula,0.82,10.94,2.56,2.81,15.59,16.31,1.03,0.24,0.26,1.47,1.53
LDS2,2,5,Betula,0.57,4.64,0.58,1.15,5.29,6.37,0.44,0.05,0.11,0.50,0.60
LDS2,2,5,Betula,0.78,9.72,2.09,2.49,13.43,14.30,0.91,0.20,0.23,1.26,1.34
LDS2,2,5,Betula,0.58,4.83,0.63,1.20,5.57,6.66,0.45,0.06,0.11,0.52,0.63
LDS2,2,5,Betula,0.54,4.08,0.47,1.01,4.51,5.56,0.38,0.04,0.09,0.42,0.52
LDS2,2,5,Betula,0.71,7.79,1.43,1.97,10.16,11.19,0.73,0.13,0.19,0.96,1.05
LDS2,2,5,Betula,0.44,2.52,0.20,0.61,2.45,3.33,0.24,0.02,0.06,0.23,0.31
LDS2,2,5,Betula,0.76,9.14,1.88,2.33,12.44,13.35,0.86,0.18,0.22,1.17,1.26
LDS2,2,5,Betula,0.62,5.65,0.82,1.42,6.79,7.89,0.53,0.08,0.13,0.64,0.74
LDS2,2,5,Betula,1,17.47,5.73,4.57,28.10,27.77,1.64,0.54,0.43,2.64,2.61
LDS2,2,5,Betula,1.3,32.45,16.63,8.69,61.25,57.77,3.05,1.56,0.82,5.76,5.43
LDS2,2,5,Betula,0.59,5.03,0.67,1.25,5.86,6.96,0.47,0.06,0.12,0.55,0.65
LDS2,2,5,Betula,0.67,6.79,1.13,1.71,8.55,9.63,0.64,0.11,0.16,0.80,0.91
LDS2,2,5,Betula,0.88,12.92,3.41,3.34,19.22,19.67,1.21,0.32,0.31,1.81,1.85
LDS2,2,5,Betula,0.55,4.26,0.51,1.06,4.76,5.82,0.40,0.05,0.10,0.45,0.55
LDS2,2,5,Betula,0.45,2.65,0.22,0.65,2.62,3.52,0.25,0.02,0.06,0.25,0.33
LDS2,2,5,Betula,0.42,2.26,0.17,0.55,2.14,2.97,0.21,0.02,0.05,0.20,0.28
LDS2,2,5,Betula,1.12,22.83,9.08,6.03,39.34,37.94,2.15,0.85,0.57,3.70,3.57
LDS2,2,5,Betula,0.53,3.90,0.44,0.96,4.26,5.30,0.37,0.04,0.09,0.40,0.50
LDS2,2,5,Betula,0.54,4.08,0.47,1.01,4.51,5.56,0.38,0.04,0.09,0.42,0.52
LDS2,2,5,Betula,0.77,9.43,1.98,2.41,12.93,13.82,0.89,0.19,0.23,1.22,1.30
LDS2,2,5,Betula,0.45,2.65,0.22,0.65,2.62,3.52,0.25,0.02,0.06,0.25,0.33
LDS2,2,5,Betula,0.2,0.39,0.01,0.09,0.24,0.49,0.04,0.00,0.01,0.02,0.05
LDS2,2,5,Betula,0.48,3.09,0.29,0.76,3.18,4.14,0.29,0.03,0.07,0.30,0.39
LDS2,2,5,Betula,0.3,1.02,0.04,0.24,0.79,1.30,0.10,0.00,0.02,0.07,0.12
LDS2,2,5,Betula,0.56,4.45,0.54,1.10,5.02,6.09,0.42,0.05,0.10,0.47,0.57
LDS2,2,5,Betula,0.13,0.14,0.00,0.03,0.07,0.17,0.01,0.00,0.00,0.01,0.02
LDS2,2,5,Betula,0.12,0.12,0.00,0.03,0.05,0.14,0.01,0.00,0.00,0.00,0.01
LDS2,2,5,Betula,0.48,3.09,0.29,0.76,3.18,4.14,0.29,0.03,0.07,0.30,0.39
LDS2,2,5,Betula,0.71,7.79,1.43,1.97,10.16,11.19,0.73,0.13,0.19,0.96,1.05
LDS2,2,5,Betula,0.55,4.26,0.51,1.06,4.76,5.82,0.40,0.05,0.10,0.45,0.55
LDS2,2,5,Betula,0.54,4.08,0.47,1.01,4.51,5.56,0.38,0.04,0.09,0.42,0.52
LDS2,2,5,Betula,0.2,0.39,0.01,0.09,0.24,0.49,0.04,0.00,0.01,0.02,0.05
LDS2,2,5,Betula,0.6,5.23,0.72,1.31,6.16,7.26,0.49,0.07,0.12,0.58,0.68
LDS2,2,5,Betula,0.7,7.53,1.35,1.91,9.74,10.78,0.71,0.13,0.18,0.92,1.01
LDS2,2,5,Betula,0.84,11.58,2.82,2.98,16.74,17.38,1.09,0.27,0.28,1.57,1.63
LDS2,2,5,Betula,0.54,4.08,0.47,1.01,4.51,5.56,0.38,0.04,0.09,0.42,0.52
LDS2,2,5,Betula,0.5,3.40,0.34,0.84,3.59,4.58,0.32,0.03,0.08,0.34,0.43
LDS2,2,5,Betula,0.52,3.73,0.40,0.92,4.03,5.06,0.35,0.04,0.09,0.38,0.48
LDS2,2,5,Betula,0.77,9.43,1.98,2.41,12.93,13.82,0.89,0.19,0.23,1.22,1.30
LDS2,2,5,Betula,0.46,2.80,0.24,0.68,2.80,3.72,0.26,0.02,0.06,0.26,0.35
LDS2,2,5,Betula,0.89,13.27,3.57,3.43,19.88,20.27,1.25,0.34,0.32,1.87,1.91
LDS2,2,5,Betula,1.01,17.89,5.97,4.68,28.94,28.53,1.68,0.56,0.44,2.72,2.68
LDS2,2,5,Betula,0.5,3.40,0.34,0.84,3.59,4.58,0.32,0.03,0.08,0.34,0.43
LDS2,2,5,Betula,0.8,10.32,2.32,2.65,14.48,15.28,0.97,0.22,0.25,1.36,1.44
LDS2,2,5,Betula,0.55,4.26,0.51,1.06,4.76,5.82,0.40,0.05,0.10,0.45,0.55
LDS2,2,5,Betula,0.65,6.32,1.00,1.59,7.82,8.91,0.59,0.09,0.15,0.73,0.84
LDS2,2,5,Betula,0.36,1.57,0.09,0.37,1.35,2.03,0.15,0.01,0.04,0.13,0.19
LDS2,2,5,Betula,0.34,1.37,0.07,0.33,1.14,1.77,0.13,0.01,0.03,0.11,0.17
LDS2,2,5,Betula,0.4,2.01,0.14,0.48,1.85,2.63,0.19,0.01,0.05,0.17,0.25
LDS2,2,5,Betula,1.28,31.28,15.61,8.37,58.50,55.26,2.94,1.47,0.79,5.50,5.19
LDS2,2,5,Betula,1,17.47,5.73,4.57,28.10,27.77,1.64,0.54,0.43,2.64,2.61
LDS2,2,5,Betula,0.92,14.35,4.08,3.73,21.94,22.16,1.35,0.38,0.35,2.06,2.08
LDS2,2,5,Betula,0.96,15.87,4.85,4.14,24.89,24.86,1.49,0.46,0.39,2.34,2.34
LDS2,2,5,Betula,1,17.47,5.73,4.57,28.10,27.77,1.64,0.54,0.43,2.64,2.61
LDS2,2,5,Betula,0.7,7.53,1.35,1.91,9.74,10.78,0.71,0.13,0.18,0.92,1.01
LDS2,2,5,Betula,0.59,5.03,0.67,1.25,5.86,6.96,0.47,0.06,0.12,0.55,0.65
LDS2,2,5,Betula,0.75,8.86,1.78,2.26,11.96,12.90,0.83,0.17,0.21,1.12,1.21
LDS2,2,5,Betula,0.43,2.38,0.19,0.58,2.29,3.15,0.22,0.02,0.05,0.22,0.30
